id	M28-0h-1	M28-0h-2	M28-0h-3	M28-1h-1	M28-1h-2	M28-1h-3	M28-2h-1	M28-2h-2	M28-2h-3	M28-4h-1	M28-4h-2	M28-4h-3	M28-8h-1	M28-8h-2	M28-8h-3	K326-0h-1	K326-0h-2	K326-0h-3	K326-1h-1	K326-1h-2	K326-1h-3	K326-2h-1	K326-2h-2	K326-2h-3	K326-4h-1	K326-4h-2	K326-4h-3	K326-8h-1	K326-8h-2	K326-8h-3
class	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326
Nitab4.5_0000246g0150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097444	0	0	0	0	0	0	0	0	0	0.176214	0
Nitab4.5_0001782g0030	0	0	0	0.085448	0	0	0	0.337272	0.127048	0	0.224353	0	0	0	0	0	0	0.137621	1.1832	0.333935	2.479558	0.30737	0.217557	0.507543	0.189694	0.231944	0.412927	0.651554	0	0
Nitab4.5_0004194g0050	28.932529	33.026413	28.749489	25.375309	24.803364	27.937637	28.491827	24.597731	25.440073	27.492119	27.347679	31.405117	30.147102	26.959635	34.997475	21.772739	27.862795	27.521042	22.864239	24.821108	21.063667	31.468407	29.011311	26.886879	25.770149	21.798893	23.358564	26.054232	21.786371	28.515083
Nitab4.5_0002289g0160	0	0	0	0	0	0	0	0	0	0.127472	0	0	0	0.461446	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201123	0	0
Nitab4.5_0001378g0100	0.712359	0.700652	0.408634	0.532054	0.642715	0.470396	0.665019	0.855266	0.716944	0.621245	0.704127	0.856982	0.887151	0.663489	0	0.254105	0.349983	0.611847	0.696722	0.327402	0.589573	0.406466	0.340234	0.523943	0.547892	0.594714	0.6435	0.800401	0.555019	0.497978
Nitab4.5_0000138g0120	3.284969	2.705611	2.168479	2.809145	1.86355	3.570652	4.127291	3.082392	3.321532	4.269222	3.77141	3.76406	4.316759	4.718986	6.564229	1.265308	3.176383	1.755645	3.093197	2.381417	3.594796	2.619477	2.444334	2.910326	4.795806	2.732079	4.427438	3.566552	3.688315	3.140821
Nitab4.5_0001699g0010	290.917603	212.34346	223.682831	213.257126	167.656342	204.375198	201.280045	188.272278	185.209457	153.918182	185.304947	149.581665	240.061554	249.734726	222.36998	392.177917	338.68515	315.552734	232.632767	333.262299	278.557129	257.609985	240.316711	274.39859	216.309631	269.718231	217.718719	287.209167	267.950134	292.825867
Nitab4.5_0000569g0070	0	0	0	0	0	0	0	0	0	0	0.151407	0	0	0	0	0	0.057417	0	0	0	0	0.067896	0.300714	0	0.112437	0.048806	0	0	0.041143	0
Nitab4.5_0000202g0480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.097335	6.606679	7.257237	5.839801	4.318655	5.675077	6.658269	5.037437	6.479546	5.821963	5.535442	3.930692	4.406785	4.424084	4.176846
Nitab4.5_0000492g0040	19.965191	21.935616	21.982269	17.251469	20.787598	20.432276	22.082054	19.778517	20.90027	24.923893	22.581787	23.90053	22.368542	19.64781	27.144938	11.836115	11.642618	14.669168	13.417298	11.780289	12.723557	15.116385	16.843225	15.276588	13.908835	14.886825	15.576459	16.98028	18.348852	17.688784
Nitab4.5_0001288g0170	5.464773	6.534451	4.69182	5.133007	3.294026	5.707441	4.11107	4.086809	5.505349	4.185767	4.483188	5.083255	3.628584	4.485623	4.427315	4.45468	7.905568	5.834453	3.382591	5.352655	3.494918	4.716983	5.163134	4.141502	3.742263	4.457732	3.543784	2.732953	2.932943	3.323535
Nitab4.5_0000494g0010	19.787006	21.885803	21.490114	14.843785	15.648212	15.369671	13.662536	14.44683	14.759352	12.062647	13.671418	12.174958	12.696436	14.362128	17.727144	18.056297	20.670021	22.124319	17.8433	16.851242	17.531797	15.533164	17.195724	14.761637	14.595093	15.209224	15.21921	17.93087	18.285746	15.434636
Nitab4.5_0000264g0100	16.875891	16.832336	17.269915	14.281446	13.430309	15.068405	13.204562	13.602971	14.309163	11.614908	12.787966	12.999907	11.036254	10.194678	10.621794	14.399049	14.67545	14.884404	15.477834	12.542782	15.750086	12.245331	15.024803	12.739011	9.877665	11.248247	10.933183	8.405091	11.955093	9.897684
Nitab4.5_0000733g0030	3.051345	3.287357	2.568552	2.997121	2.327215	2.576842	3.283363	3.155349	2.841914	2.659121	3.031057	2.72288	3.118349	2.035553	2.688087	1.851775	2.469632	1.952989	2.929312	2.538559	3.568026	2.658478	2.273313	2.344134	2.385205	1.830091	2.118554	3.214114	2.792756	2.964347
Nitab4.5_0000356g0010	55.85355	64.882881	55.992752	440.684906	217.574768	148.954468	172.046829	160.115692	138.741226	164.339676	210.336121	160.269333	105.592323	61.706329	56.218037	37.832886	32.450882	82.020638	388.250946	209.157349	463.31131	215.467575	146.213654	182.9422	183.01915	117.475212	134.582428	52.91621	80.601685	60.879528
Nitab4.5_0001206g0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitab4.5_0000935g0090	19.00127	18.250692	18.766279	22.570642	22.594784	20.80131	22.375696	20.802258	19.844606	14.218187	12.973667	14.126	13.776454	14.110399	16.830238	18.467155	15.631568	14.709498	18.001965	17.171207	19.94829	18.413702	16.994387	15.509589	12.402843	12.760334	14.696637	12.41787	12.2209	11.990177
Nitab4.5_0001764g0060	1.036555	0.926213	1.09158	0.972144	1.031224	1.355668	1.513799	1.500376	2.006843	2.681535	2.934781	2.271921	3.021354	2.351789	1.714568	0.26215	1.025027	0.567954	0.698799	0.711527	0.846057	1.072297	0.798524	1.215696	1.25851	1.085908	1.027197	1.591529	1.583344	1.348348
Nitab4.5_0002709g0030	0.871216	1.057864	1.280911	1.081825	0.582214	1.031102	0.848299	0.745581	1.48413	1.093469	1.403289	1.075066	0.837906	0.744558	1.312202	0.703889	0.500138	1.092175	0.695623	0.434004	0.42523	0.950699	1.04581	0.429929	0.417269	0.944178	0.809643	1.049052	0.827047	1.103296
Nitab4.5_0004605g0110	24.814018	21.059381	19.642328	21.550646	25.897642	22.46603	19.983831	25.063358	17.648384	19.566805	24.031424	18.520115	20.224508	22.515306	25.12608	65.742798	65.018898	55.952274	55.489151	60.174095	50.782978	41.95203	51.098953	53.911491	56.345695	62.344482	61.95187	65.510498	60.449356	56.422775
Nitab4.5_0001983g0100	0	0.101236	0	0	0	0	0	0	0	0	0	0.165822	0	0	0	0	0	0.168766	0	0	0	0	0.175718	0	0	0	0	0	0	0
Nitab4.5_0002536g0020	6.448162	6.996616	7.176931	6.563075	7.069463	6.296877	7.916833	6.779573	8.324678	9.883439	8.410094	8.552759	9.682042	9.115255	8.798445	5.74404	4.77331	5.700754	5.557209	4.170791	4.561074	6.07532	5.830888	5.763656	6.558509	6.243486	7.4146	8.552675	8.880992	7.587772
Nitab4.5_0001841g0050	0.67294	0.867785	0.739433	0.978455	0.905414	0.761089	0.8664	0.549767	0.773533	1.156164	1.183416	0.95128	1.108253	1.562183	0.73744	0.722834	0.596282	0.86678	0.789638	0.914604	0.728337	0.954703	0.781493	0.816368	0.84526	0.922326	1.12263	1.08229	0.734636	1.114248
Nitab4.5_0001268g0060	0	0	0	0.193434	0	0	0	0	0	0	0	0	0	0	0	0	0	1.058948	0.178016	0.762044	0	0	0	0	0	0	0.555652	0.552917	0.463443	0
